id,city,state,lat,lon,alt
KBBX,Beale AFB,CA,39.496,-121.631,221
KEYX,Edwards AFB,CA,35.097,-117.559,2872
KBHX,Eureka,CA,40.498,-124.29,2515
KVTX,Los Angeles,CA,34.412,-119.174,2806
KDAX,Sacramento,CA,38.502,-121.677,144
KNKX,San Diego,CA,32.918,-117.041,1052
KMUX,San Francisco,CA,37.155,-121.893,3549
KHNX,San Joaquin Valley,CA,36.314,-119.631,340
KSOX,Santa Ana Mountains,CA,33.817,-117.635,3105
KVBX,Vandenberg AFB,CA,34.736,-120.572,1354
KMAX,Medford,OR,42.078,-122.717,7559
KPDT,Pendleton,OR,45.69,-118.853,1579
KRTX,Portland,OR,45.715,-122.967,1728
KLGX,Langley Hill,WA,47.113,-124.104,354
KATX,Seattle,WA,48.194,-122.495,642
KOTX,Spokane,WA,47.681,-117.627,2448
